rating,date,content,cleaned_content,month,season,tokens,review_length
5,2025-01-25,할인쿠폰적용해서 저렴하게 샀어요맛있어요,할인쿠폰적용해서 저렴하게 샀어요맛있어요,1,Winter,할인쿠폰적용해서 저렴하게 샀어요맛있어요,21
4,2025-09-30,사은품에 추가적립까지 좋은가격에 잘샀어요 많이 먹지않으려고 작은사이즈 시켰는데 잘 먹을께요,사은품에 추가적립까지 좋은가격에 잘샀어요 많이 먹지않으려고 작은사이즈 시켰는데 잘 먹을께요,9,Fall,사은품에 추가적립까지 좋은가격에 잘샀어요 많이 먹지않으려고 작은사이즈 시켰는데 잘 먹을께요,50
4,2025-10-03,코카콜라 제로 저렴하게 구매했어요 다마시면 또 저렴하게 구매하고싶어요,코카콜라 제로 저렴하게 구매했어요 다마시면 또 저렴하게 구매하고싶어요,10,Fall,코카콜라 제로 저렴하게 구매했어요 다마시면 또 저렴하게 구매하고싶어요,38
5,2026-01-13,뽐뿌 누가 공유해서 저렴해서 샀더니. 오늘 천원더 내려서 올라온거보고 아깝 ㅋ유통기한은 1년이 안되고 조금 짧네요.. 10개월,뽐뿌 누가 공유해서 저렴해서 샀더니 오늘 천원더 내려서 올라온거보고 아깝 유통기한은 1년이 안되고 조금 짧네요 10개월,1,Winter,뽐뿌 누가 공유해서 저렴해서 샀더니 오늘 천원더 내려서 올라온거보고 아깝 유통기한은 1년이 안되고 조금 짧네요 10개월,66
5,2026-01-04,잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다,잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다,1,Winter,잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다 잘받았습니다,69
5,2026-01-10,마르고 안전한 배송 감사합니다. 좋은 가격에 구매했어요.너무 크면 남아서 한번에 마시기에 190ml 딱 좋은 거 같아요.,마르고 안전한 배송 감사합니다 좋은 가격에 구매했어요너무 크면 남아서 한번에 마시기에 190ml 딱 좋은 거 같아요,1,Winter,마르고 안전한 배송 감사합니다 좋은 가격에 구매했어요너무 크면 남아서 한번에 마시기에 190ml 딱 좋은 거 같아요,64
5,2025-12-18,배송 하루만에 왔구요 캔도 거의 찌그러짐없이 잘 도착했습니다한번에 마시기 좋은 양이고 달력도 이쁘네요,배송 하루만에 왔구요 캔도 거의 찌그러짐없이 잘 도착했습니다한번에 마시기 좋은 양이고 달력도 이쁘네요,12,Winter,배송 하루만에 왔구요 캔도 거의 찌그러짐없이 잘 도착했습니다한번에 마시기 좋은 양이고 달력도 이쁘네요,56
5,2025-12-29,배송도 빠르고상품도 신선하고 너무 마음에 들어요~앞으로 자주 이용할거 같네요~감사합니다~^^,배송도 빠르고상품도 신선하고 너무 마음에 들어요앞으로 자주 이용할거 같네요감사합니다,12,Winter,배송도 빠르고상품도 신선하고 너무 마음에 들어요앞으로 자주 이용할거 같네요감사합니다,46
5,2025-10-17,콜라를 마트에서 사먹으면 큰 사이즈를 사게되는데 항상 남아서 작은 캔으로 구입했어요. 제로인지 못보고 샀는데 상각보다 괜찮네요. 수육할때도 넣고 삶았더니 고기가 염하고 맛있었어요. 사은품도 유용하게 잘 쓰겠어요.,콜라를 마트에서 사먹으면 큰 사이즈를 사게되는데 항상 남아서 작은 캔으로 구입했어요 제로인지 못보고 샀는데 상각보다 괜찮네요 수육할때도 넣고 삶았더니 고기가 염하고 맛있었어요 사은품도 유용하게 잘 쓰겠어요,10,Fall,콜라를 마트에서 사먹으면 큰 사이즈를 사게되는데 항상 남아서 작은 캔으로 구입했어요 제로인지 못보고 샀는데 상각보다 괜찮네요 수육할때도 넣고 삶았더니 고기가 염하고 맛있었어요 사은품도 유용하게 잘 쓰겠어요,114
5,2025-11-19,항상 쟁여둬요 요새 물가가 너무 올라서 할인할 때 아님 비싸서 못사요ㅜ 할인행사 자주 하면 좋겠어요,항상 쟁여둬요 요새 물가가 너무 올라서 할인할 때 아님 비싸서 못사요 할인행사 자주 하면 좋겠어요,11,Fall,항상 쟁여둬요 요새 물가가 너무 올라서 할인할 때 아님 비싸서 못사요 할인행사 자주 하면 좋겠어요,54
